T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1400.0	0.0	1.0	7.32884	7.79629	0.0	30.51897	29.86078	1.37278	0.72845	0.0	124.31938	0.0	0.5	7.08892	7.08892	1.15197	1.15197	1766.78338	51250.93	 	0.0
1395.0	0.0	1.0	7.3329	7.79198	-0.055392	30.47862	29.7895	1.37195	0.72889	0.0	124.47272	0.0	0.5	7.16502	7.16502	1.13633	1.13633	1769.42254	51045.193	41.1474	0.0
1390.0	0.0	1.0	7.33695	7.78767	-0.11063	30.43839	29.71821	1.37112	0.72933	0.0	124.62607	0.0	0.5	7.2424	7.2424	1.12082	1.12082	1772.07999	50839.937	41.0512	0.0
1385.0	0.0	1.0	7.341	7.78338	-0.16571	30.39831	29.64692	1.37028	0.72978	0.0	124.77941	0.0	0.5	7.32109	7.32109	1.10544	1.10544	1774.75554	50635.158	40.9558	0.0
1380.0	0.0	1.0	7.34504	7.77909	-0.22063	30.35836	29.57563	1.36944	0.73022	0.0	124.93275	0.0	0.5	7.40112	7.40112	1.09019	1.09019	1777.44892	50430.855	40.8606	0.0
1375.0	0.0	1.0	7.34907	7.77482	-0.27539	30.31855	29.50433	1.3686	0.73067	0.0	125.0861	0.0	0.5	7.48252	7.48252	1.07507	1.07507	1780.15988	50227.024	40.7662	0.0
1370.0	0.0	1.0	7.3531	7.77057	-0.33	30.27889	29.43304	1.36775	0.73113	0.0	125.23944	0.0	0.5	7.56532	7.56532	1.06007	1.06007	1782.88812	50023.664	40.672	0.0
1365.0	0.0	1.0	7.35712	7.76632	-0.38445	30.23936	29.36174	1.3669	0.73158	0.0	125.39278	0.0	0.5	7.64955	7.64955	1.04521	1.04521	1785.63337	49820.77	40.5788	0.0
1360.0	0.0	1.0	7.36113	7.76209	-0.43875	30.19998	29.29044	1.36605	0.73204	0.0	125.54613	0.0	0.5	7.73524	7.73524	1.03048	1.03048	1788.39532	49618.342	40.4856	0.0
1355.0	0.0	1.0	7.36514	7.75787	-0.49289	30.16075	29.21914	1.36519	0.7325	0.0	125.69947	0.0	0.5	7.82242	7.82242	1.01587	1.01587	1791.17366	49416.377	40.393	0.0
1350.0	0.0	1.0	7.36913	7.75366	-0.54687	30.12166	29.14784	1.36433	0.73296	0.0	125.85281	0.0	0.5	7.91114	7.91114	1.0014	1.0014	1793.96806	49214.871	40.3012	0.0
1346.32	0.0	1.0	7.37207	7.75057	-0.58646	30.09302	29.09542	1.36369	0.7333	0.0	125.96556	0.0	0.5	7.97736	7.97736	0.99084	0.99084	1796.03262	49067.021	40.21936	0.0
1345.0	0.0409801	0.95902	7.38299	7.73918	-0.73253	29.70789	29.20728	1.35736	0.73673	2.58355E-4	126.0733	8.6439E-5	0.49444	7.9885	8.53532	0.98864	0.92531	1795.31981	48390.619	510.91237	623.202
1340.0	0.18149	0.81851	7.42104	7.69944	-1.24231	28.36597	29.59122	1.3356	0.74872	0.10192	126.41648	0.0345471	0.47514	8.03025	53.64273	0.98047	0.14677	1792.68914	46063.791	465.3656	2749.438
1335.0	0.29526	0.70474	7.45274	7.66673	-1.66184	27.27233	29.89805	1.3178	0.75884	0.72909	126.72348	0.24981	0.4593	8.07217	335.88969	0.97235	0.0233677	1790.17273	44154.0	381.9582	4459.089
1330.0	0.38853	0.61147	7.47949	7.63934	-2.0132	26.36638	30.14426	1.30297	0.76748	2.22582	127.00761	0.76957	0.44614	8.11427	1047.61396	0.9643	0.00746895	1787.77154	42564.1	317.98	5849.3
1325.0	0.46587	0.53413	7.50235	7.61611	-2.31112	25.6077	30.34204	1.29044	0.77493	4.67341	127.28049	1.62824	0.43511	8.15654	2291.12088	0.95631	0.00340452	1785.48407	41222.78	268.264	6991.379
1320.24	0.52761	0.47239	7.5212	7.59709	-2.55511	24.99479	30.49268	1.28025	0.7811	7.79124	127.53525	2.73146	0.4262	8.19706	3993.33469	0.94875	0.00194749	1783.41238	40130.636	 	7894.418
1320.0	0.53424	0.46576	7.52315	7.59513	-2.5803	24.92649	30.51137	1.27927	0.7817	8.20136	127.57657	2.87721	0.42523	8.20128	4211.54226	0.94812	0.0018463	1783.25304	40019.039	240.7482	7996.324
1315.0	0.65621	0.34379	7.55956	7.55877	-3.04663	23.66643	30.86073	1.26082	0.79314	19.20768	128.21171	6.82532	0.40709	8.28827	10290.28788	0.93522	7.5327E-4	1780.1278	37964.351	410.9376	9852.66
1310.0	0.73809	0.26191	7.58511	7.53352	-3.37053	22.81253	31.08079	1.24795	0.80132	31.41232	128.65349	11.26128	0.3947	8.37454	17663.97987	0.92267	4.37442E-4	1777.21169	36543.317	284.2068	11075.782
1305.0	0.79528	0.20472	7.60393	7.51509	-3.60695	22.20846	31.21601	1.23862	0.80735	43.03475	129.00579	15.5257	0.38592	8.46012	25514.67503	0.91045	3.01887E-4	1774.49597	35506.889	207.2856	11914.738
1300.0	0.83663	0.16337	7.6184	7.50102	-3.78732	21.76462	31.29444	1.2316	0.81195	53.38185	129.31779	19.34858	0.37948	8.54519	33470.36673	0.89854	2.29402E-4	1771.96755	34713.705	158.6368	12510.885
1295.0	0.86742	0.13258	7.62997	7.48986	-3.93047	21.42728	31.33382	1.22614	0.81557	62.32951	129.61275	22.67177	0.37461	8.63012	41415.59653	0.88686	1.84804E-4	1769.6104	34080.299	126.6812	12947.69
1290.0	0.89097	0.10903	7.63952	7.48069	-4.04808	21.16306	31.34577	1.22177	0.81849	69.9865	129.90208	25.52716	0.37082	8.71516	49356.62511	0.87541	1.54576E-4	1767.40959	33555.506	104.9586	13276.313
1285.0	0.90938	0.0906177	7.64763	7.47294	-4.14758	20.95066	31.33799	1.21816	0.82091	76.53589	130.19127	27.97739	0.36782	8.80063	57354.52722	0.86414	1.32595E-4	1765.34936	33106.854	89.7304	13529.225
1280.0	0.92407	0.0759318	7.6547	7.46622	-4.23369	20.77663	31.31565	1.21512	0.82297	82.15408	130.48288	30.08474	0.36538	8.88691	65480.75848	0.853	1.15767E-4	1763.41383	32713.065	78.7578	13727.701
