T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
700.0	0.00363	0.99637	1.66993	15.36901	0.0	54.50239	81.32426	0.29317	3.41094	3.70389E-11	23.71578	1.23477E-11	0.49983	1.27821	1.27821	3.7159	3.7159	543.64768	27327.782	 	0.0
695.0	0.00377	0.99623	1.67126	15.35672	-0.0799945	54.46721	80.97506	0.29293	3.41383	4.30492E-11	23.78826	1.43514E-11	0.49982	1.29299	1.29299	3.65457	3.65457	545.38597	27153.662	34.824	1.213
690.0	0.0039	0.9961	1.67258	15.34462	-0.15868	54.43879	80.62667	0.29267	3.41679	4.97273E-11	23.86097	1.65778E-11	0.49982	1.30809	1.30809	3.59372	3.59372	547.12432	26979.52	34.8284	2.413
685.0	0.00403	0.99597	1.6739	15.33244	-0.23794	54.40673	80.27764	0.29242	3.41976	5.70755E-11	23.93347	1.90276E-11	0.49981	1.32353	1.32353	3.53334	3.53334	548.86273	26805.356	34.8328	3.599
680.0	0.00416	0.99584	1.67522	15.32047	-0.31582	54.38197	79.9295	0.29216	3.42279	6.51449E-11	24.00622	2.17178E-11	0.4998	1.33933	1.33933	3.47345	3.47345	550.6012	26631.17	34.8372	4.77
675.0	0.00429	0.99571	1.67653	15.30839	-0.39442	54.35272	79.58056	0.2919	3.42581	7.39727E-11	24.07872	2.46609E-11	0.4998	1.35548	1.35548	3.41406	3.41406	552.33974	26456.962	34.8416	5.928
670.0	0.00441	0.99559	1.67784	15.29654	-0.47158	54.33129	79.23258	0.29164	3.42892	8.35829E-11	24.1515	2.78648E-11	0.49979	1.37201	1.37201	3.35514	3.35514	554.07833	26282.733	34.8458	7.072
665.0	0.00454	0.99546	1.67914	15.28458	-0.54938	54.30584	78.88389	0.29137	3.43202	9.39913E-11	24.22403	3.13349E-11	0.49978	1.38892	1.38892	3.29672	3.29672	555.81699	26108.481	34.8504	8.201
660.0	0.00466	0.99534	1.68044	15.27282	-0.62588	54.28754	78.53601	0.2911	3.43519	1.05239E-10	24.29681	3.50849E-11	0.49978	1.40623	1.40623	3.23879	3.23879	557.55571	25934.208	34.8546	9.317
655.0	0.00478	0.99522	1.68174	15.26098	-0.70295	54.2656	78.18749	0.29084	3.43837	1.17373E-10	24.36937	3.91301E-11	0.49977	1.42395	1.42395	3.18135	3.18135	559.2945	25759.913	34.859	10.418
650.0	0.0049	0.9951	1.68304	15.24919	-0.77965	54.24551	77.83906	0.29056	3.44159	1.30369E-10	24.44193	4.34632E-11	0.49977	1.44209	1.44209	3.12441	3.12441	561.03334	25585.596	34.8634	11.506
645.0	0.00502	0.99498	1.68433	15.2376	-0.85507	54.23275	77.49141	0.29029	3.44488	1.44329E-10	24.51474	4.81171E-11	0.49976	1.46066	1.46066	3.06797	3.06797	562.77167	25411.583	34.8026	12.58
640.0	0.00514	0.99486	1.68562	15.22592	-0.93104	54.21644	77.14315	0.29001	3.44817	1.5917E-10	24.58732	5.30652E-11	0.49976	1.47969	1.47969	3.01203	3.01203	564.51067	25238.228	34.671	13.64
635.05	0.00525	0.99475	1.68689	15.21441	-1.00591	54.20242	76.79825	0.28973	3.45148	1.74871E-10	24.65925	5.83E-11	0.49975	1.49899	1.49899	2.95711	2.95711	566.2334	25067.148	34.5407	14.672
