T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	6.91142	7.84689	0.0	25.44126	32.13608	1.79792	0.5562	0.0	101.69109	0.0	0.49975	6.5763	6.5763	1.31598	1.31598	1800.14421	65824.994	 	0.0
1495.0	0.0	1.0	6.91528	7.84251	-0.0557246	25.38721	32.05986	1.79711	0.55645	0.0	101.87505	0.0	0.49975	6.63208	6.63208	1.30124	1.30124	1802.10328	65603.365	44.3258	0.0
1490.0	0.0	1.0	6.91913	7.83815	-0.11129	25.33318	31.98364	1.7963	0.5567	0.0	102.05901	0.0	0.49975	6.68866	6.68866	1.28658	1.28658	1804.05924	65382.327	44.2076	0.0
1485.0	0.0	1.0	6.92297	7.83381	-0.16671	25.27918	31.90742	1.79549	0.55695	0.0	102.24297	0.0	0.49975	6.74604	6.74604	1.27202	1.27202	1806.01204	65161.876	44.0902	0.0
1480.0	0.0	1.0	6.9268	7.82947	-0.22197	25.2252	31.8312	1.79467	0.55721	0.0	102.42693	0.0	0.49975	6.80425	6.80425	1.25755	1.25755	1807.96165	64942.007	43.9738	0.0
1475.98	0.0	1.0	6.92988	7.82599	-0.26632	25.18178	31.76988	1.794	0.55741	0.0	102.57494	0.0	0.49975	6.85168	6.85168	1.24598	1.24598	1809.52786	64765.525	43.8712	0.0070
1475.0	0.03634	0.96366	6.93669	7.81829	-0.36446	24.94774	31.82545	1.78987	0.5587	7.19551E-5	100.76413	2.40748E-5	0.49441	6.85143	7.18734	1.24533	1.18713	1809.15915	64355.173	419.896	367.54
1470.0	0.19298	0.80702	6.96658	7.78483	-0.79085	23.93974	32.05916	1.77174	0.56442	0.0587316	92.9976	0.0199597	0.47125	6.85103	12.2842	1.24184	0.69259	1807.46638	62559.243	359.186	1944.752
1465.0	0.31124	0.68876	6.99002	7.75897	-1.12037	23.1742	32.22516	1.75756	0.56897	0.40637	87.20284	0.13978	0.45357	6.85156	34.98085	1.23818	0.24252	1805.97666	61161.473	279.554	3124.373
1460.0	0.40336	0.59664	7.00903	7.73838	-1.38283	22.57667	32.34448	1.74604	0.57273	1.16877	82.76738	0.40591	0.43967	6.85291	84.55758	1.23438	0.10004	1804.6554	60035.101	225.274	4033.163
1455.0	0.47693	0.52307	7.02491	7.72143	-1.59884	22.09539	32.42994	1.73641	0.5759	2.32524	79.30162	0.81389	0.42846	6.85477	162.08756	1.23048	0.0520377	1803.47908	59100.899	186.84	4750.343
1450.0	0.53683	0.46317	7.03838	7.70729	-1.77901	21.70404	32.49007	1.72818	0.57864	3.79344	76.55665	1.33641	0.41926	6.85754	264.80238	1.22643	0.0317605	1802.42483	58307.931	158.594	5326.847
1445.0	0.58642	0.41358	7.05008	7.69517	-1.93352	21.37693	32.53062	1.72102	0.58105	5.48342	74.35857	1.9423	0.41158	6.86067	389.02908	1.22231	0.0215559	1801.48037	57621.261	137.334	5797.61
1440.0	0.62803	0.37197	7.06038	7.68466	-2.06743	21.10149	32.55583	1.71469	0.5832	7.31664	72.58547	2.60364	0.40508	6.86438	531.37209	1.21809	0.0157356	1800.63095	57016.408	120.971	6187.11
1435.0	0.66335	0.33665	7.06955	7.67539	-2.18551	20.86573	32.56879	1.709	0.58514	9.23085	71.14878	3.29787	0.39952	6.86859	689.03614	1.21379	0.0120996	1799.86668	56475.711	108.139	6513.0
1430.0	0.69365	0.30635	7.07782	7.66712	-2.29097	20.66163	32.57176	1.70384	0.58691	11.17997	69.98244	4.00802	0.3947	6.87328	859.94976	1.20942	0.00966644	1799.1794	55986.139	97.9144	6788.311
1425.0	0.71984	0.28016	7.08536	7.65966	-2.386	20.48367	32.56672	1.6991	0.58855	13.13069	69.03737	4.72158	0.3905	6.87819	1042.63927	1.205	0.0079493	1798.56142	55537.876	89.6526	7022.853
1420.0	0.74267	0.25733	7.09227	7.65292	-2.47194	20.32862	32.55505	1.69471	0.59007	15.05831	68.27591	5.42914	0.38681	6.88381	1236.04215	1.20048	0.00668573	1798.00309	55123.399	82.8954	7224.145
1415.0	0.76274	0.23726	7.09866	7.64675	-2.55049	20.19218	32.53796	1.69059	0.59151	16.95119	67.66576	6.12606	0.38353	6.88982	1439.91177	1.19589	0.00572218	1797.49926	54736.529	77.374	7398.364
1410.0	0.78045	0.21955	7.10463	7.64099	-2.62394	20.06839	32.51593	1.68673	0.59286	18.79632	67.18377	6.80726	0.38061	6.89591	1653.69805	1.19129	0.00496768	1797.05242	54373.04	72.6978	7549.73
1405.0	0.79614	0.20386	7.1102	7.63568	-2.69165	19.95914	32.49005	1.68305	0.59416	20.58665	66.81235	7.46979	0.37799	6.90263	1877.40451	1.1866	0.00436274	1796.64893	54029.23	68.762	7681.942
1400.0	0.81014	0.18986	7.11545	7.63068	-2.75534	19.85995	32.46071	1.67956	0.5954	22.31732	66.53588	8.11163	0.37564	6.90942	2110.99929	1.1819	0.00386842	1796.29104	53702.105	65.425	7797.988
1395.0	0.82266	0.17734	7.1204	7.62599	-2.81511	19.77064	32.42846	1.6762	0.59659	23.98911	66.34073	8.73281	0.37351	6.91678	2355.04272	1.17711	0.00345719	1795.97166	53389.225	62.576	7900.307
1390.87	0.83376	0.16624	7.12489	7.62211	-2.86454	19.6962	32.40218	1.67341	0.59758	25.5463	66.15505	9.3125	0.37161	6.92285	2586.71119	1.17317	0.00313977	1795.73701	53125.95	 	7990.036
1390.87	0.83376	0.16624	7.12489	7.62211	-2.86454	19.6962	32.40218	1.67341	0.59758	25.5463	66.15505	9.3125	0.37161	6.92285	2586.71119	1.17317	0.00313977	1795.73701	53125.95	 	7990.036
1390.0	0.83628	0.16372	7.12581	7.62116	-2.87664	19.67589	32.39807	1.67275	0.59782	25.92748	66.17614	9.45406	0.37123	6.92234	2644.28217	1.17264	0.0030698	1795.58303	53062.681	65.3088	8016.803
1385.0	0.84992	0.15008	7.13099	7.61578	-2.94519	19.5613	32.37206	1.66906	0.59914	28.09387	66.32152	10.25957	0.36915	6.91879	2985.65449	1.16972	0.00271063	1794.75167	52709.474	70.6414	8160.471
1380.0	0.86207	0.13793	7.1359	7.61074	-3.00941	19.4577	32.34258	1.66554	0.60041	30.1799	66.51156	11.03653	0.36727	6.91524	3342.25196	1.16679	0.00241413	1793.96956	52373.965	67.1018	8286.947
1375.0	0.87295	0.12705	7.14057	7.60601	-3.06976	19.36399	32.31018	1.66217	0.60162	32.18765	66.73921	11.78551	0.36556	6.91199	3715.1367	1.16381	0.00216525	1793.23055	52053.646	64.0638	8398.736
1370.0	0.88273	0.11727	7.14503	7.60151	-3.12705	19.27799	32.27516	1.65892	0.6028	34.11669	66.99936	12.50615	0.364	6.9087	4104.98115	1.16083	0.00195368	1792.53558	51746.449	61.4394	8497.903
1365.0	0.89154	0.10846	7.14933	7.59722	-3.18173	19.19861	32.2379	1.65579	0.60394	35.97245	67.28703	13.20032	0.36256	6.90538	4513.3277	1.15785	0.00177151	1791.88272	51450.653	59.1592	8586.163
1360.0	0.89952	0.10048	7.15346	7.59315	-3.23367	19.12622	32.19871	1.65274	0.60505	37.75475	67.59963	13.8678	0.36124	6.90264	4941.14019	1.15478	0.00161319	1791.26146	51164.822	57.1662	8664.952
1355.0	0.90676	0.093242	7.15746	7.58922	-3.28375	19.05848	32.1578	1.64978	0.60614	39.47112	67.93302	14.5113	0.36001	6.89959	5390.32962	1.15175	0.00147423	1790.67892	50887.742	55.416	8735.479
1350.0	0.91335	0.0866539	7.16133	7.58545	-3.33178	18.99596	32.11537	1.64689	0.60721	41.12086	68.28568	15.13042	0.35888	6.89708	5861.95932	1.14863	0.00135146	1790.1248	50618.387	53.871	8798.767
1347.33	0.91665	0.0833487	7.16338	7.58347	-3.35691	18.9638	32.09219	1.64537	0.60777	41.98271	68.48023	15.4541	0.3583	6.89565	6124.54682	1.14698	0.00129139	1789.84204	50477.253	 	8830.144
1345.0	0.92004	0.0799583	7.16552	7.58142	-3.38313	18.92363	32.07231	1.64402	0.60827	42.86233	68.6441	15.78462	0.35772	6.89453	6379.35045	1.14552	0.00123802	1790.34625	50345.644	54.5486	8865.926
1340.0	0.92679	0.0732054	7.16995	7.57719	-3.43696	18.84377	32.02851	1.64118	0.60932	44.68852	69.00981	16.47133	0.35655	6.89237	6944.86667	1.14233	0.0011337	1791.42283	50070.126	55.1036	8936.339
1335.0	0.93289	0.067114	7.17419	7.57319	-3.48798	18.77128	31.98328	1.6384	0.61035	46.43103	69.39333	17.12721	0.35548	6.88998	7537.73623	1.13919	0.00104129	1792.50575	49803.119	53.4014	8998.719
1330.0	0.93839	0.061606	7.17825	7.56938	-3.53655	18.70516	31.93677	1.63569	0.61136	48.0956	69.79231	17.75431	0.35448	6.88761	8160.21105	1.13604	9.58869E-4	1793.5948	49543.588	51.9062	9054.095
1325.0	0.94339	0.0566143	7.18216	7.56574	-3.58285	18.64501	31.88914	1.63302	0.61236	49.68719	70.20518	18.3544	0.35355	6.8854	8814.68858	1.13286	8.84906E-4	1794.68558	49290.655	50.5866	9103.343
1320.0	0.94792	0.0520818	7.18593	7.56227	-3.6271	18.59029	31.84055	1.6304	0.61335	51.21092	70.63026	18.92932	0.35269	6.88342	9503.76896	1.12964	8.18177E-4	1795.77442	49043.57	49.417	9147.211
1315.0	0.95204	0.0479575	7.18958	7.55893	-3.66974	18.53976	31.79106	1.62781	0.61432	52.67198	71.06632	19.48098	0.35188	6.88151	10230.17459	1.12641	7.57696E-4	1796.86862	48801.685	48.377	9186.343
1310.0	0.9558	0.0441976	7.19312	7.55571	-3.71079	18.49343	31.74078	1.62526	0.61529	54.07462	71.51225	20.01091	0.35113	6.88021	10996.87229	1.12307	7.02651E-4	1797.95999	48564.442	47.4486	9221.293
1305.0	0.95923	0.0407654	7.19656	7.55259	-3.75054	18.45049	31.68982	1.62273	0.61625	55.42364	71.96687	20.52089	0.35042	6.87896	11807.11787	1.11973	6.52366E-4	1799.05359	48331.355	46.6174	9252.547
1300.0	0.96237	0.037627	7.19992	7.54957	-3.78902	18.41092	31.63823	1.62023	0.6172	56.72215	72.42934	21.01204	0.34975	6.87855	12664.16862	1.11625	6.0629E-4	1800.14199	48101.999	45.8712	9280.523
1295.0	0.96525	0.0347519	7.20319	7.54662	-3.82652	18.37391	31.58608	1.61774	0.61815	57.97507	72.89899	21.48618	0.34912	6.87864	13571.83947	1.11268	5.63943E-4	1801.23278	47876.003	45.1992	9305.593
