T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	6.97127	7.84959	0.0	26.62012	31.59615	1.82864	0.54685	0.0	105.98944	0.0	0.49974	6.74694	6.74694	1.2827	1.2827	1741.20651	65441.847	 	0.0
1495.0	0.0	1.0	6.97516	7.84521	-0.0557122	26.56946	31.52095	1.82784	0.54709	0.0	106.17638	0.0	0.49974	6.80589	6.80589	1.268	1.268	1742.73768	65219.829	44.4036	0.0
1490.0	0.0	1.0	6.97904	7.84085	-0.11127	26.51884	31.44575	1.82703	0.54734	0.0	106.36332	0.0	0.49974	6.86569	6.86569	1.25341	1.25341	1744.26201	64998.325	44.3008	0.0
1485.0	0.0	1.0	6.98291	7.83651	-0.16667	26.46827	31.37055	1.82621	0.54758	0.0	106.55026	0.0	0.49974	6.92636	6.92636	1.2389	1.2389	1745.7794	64777.332	44.1986	0.0
1480.0	0.0	1.0	6.98678	7.83217	-0.22191	26.41776	31.29535	1.8254	0.54783	0.0	106.7372	0.0	0.49974	6.98791	6.98791	1.2245	1.2245	1747.28977	64556.845	44.0974	0.0
1475.0	0.0	1.0	6.99064	7.82784	-0.277	26.3673	31.22015	1.82457	0.54807	0.0	106.92414	0.0	0.49974	7.05037	7.05037	1.21019	1.21019	1748.79299	64336.863	43.9964	0.0
1470.0	0.0	1.0	6.99449	7.82353	-0.33193	26.3169	31.14495	1.82375	0.54832	0.0	107.11108	0.0	0.49974	7.11375	7.11375	1.19598	1.19598	1750.28896	64117.38	43.8966	0.0
1465.0	0.0	1.0	6.99834	7.81923	-0.3867	26.26655	31.06975	1.82292	0.54857	0.0	107.29801	0.0	0.49974	7.17807	7.17807	1.18186	1.18186	1751.77757	63898.396	43.7968	0.0
1460.0	0.0	1.0	7.00217	7.81495	-0.44132	26.21625	30.99454	1.82209	0.54882	0.0	107.48495	0.0	0.49974	7.24335	7.24335	1.16784	1.16784	1753.25871	63679.905	43.6982	0.0
1455.0	0.0	1.0	7.00601	7.81067	-0.49578	26.16601	30.91934	1.82125	0.54907	0.0	107.67189	0.0	0.49974	7.3096	7.3096	1.15392	1.15392	1754.73226	63461.905	43.6	0.0
1450.0	0.0	1.0	7.00983	7.80641	-0.55009	26.11583	30.84413	1.82041	0.54933	0.0	107.85883	0.0	0.49974	7.37685	7.37685	1.14009	1.14009	1756.19809	63244.417	43.4976	0.0
1445.0	0.0	1.0	7.01365	7.80216	-0.60424	26.0657	30.76893	1.81956	0.54958	0.0	108.04577	0.0	0.49974	7.44512	7.44512	1.12636	1.12636	1757.65611	63027.481	43.3872	0.0
1440.0	0.0	1.0	7.01746	7.79792	-0.65823	26.01563	30.69372	1.81871	0.54984	0.0	108.23271	0.0	0.49974	7.51442	7.51442	1.11272	1.11272	1759.10617	62811.088	43.2786	0.0
1438.28	0.0	1.0	7.01877	7.79646	-0.67678	25.9984	30.66785	1.81842	0.54993	0.0	108.29703	0.0	0.49974	7.53851	7.53851	1.10805	1.10805	1759.60322	62736.756	43.2087	0.0050
1435.0	0.10854	0.89146	7.03799	7.77526	-0.94697	25.3449	31.04482	1.79289	0.55776	0.00788245	104.28637	0.00265606	0.48386	7.56095	9.21181	1.10265	0.90504	1757.40737	61639.411	334.587	955.822
1430.0	0.24319	0.75681	7.06256	7.74812	-1.2926	24.5185	31.51744	1.76084	0.56791	0.20278	99.3784	0.0692563	0.46399	7.595	23.60659	1.09449	0.35213	1754.21219	60242.8	279.322	2137.115
1425.0	0.34837	0.65163	7.08235	7.72656	-1.5673	23.87497	31.88994	1.73516	0.57631	0.86908	95.63507	0.30002	0.44835	7.62989	70.16471	1.08629	0.11813	1751.17137	59110.453	226.469	3054.678
1422.83	0.38636	0.61364	7.08973	7.71852	-1.66973	23.63901	32.02371	1.72571	0.57947	1.32407	94.31125	0.4589	0.44266	7.645	102.43652	1.08275	0.0808077	1749.89455	58687.35	 	3384.722
1420.0	0.45941	0.54059	7.10247	7.70473	-1.84541	23.21773	32.19312	1.71376	0.58351	2.34799	92.92832	0.81962	0.43236	7.66226	224.78983	1.07851	0.0367625	1747.01154	57807.07	260.677	4143.804
1415.0	0.56145	0.43855	7.12081	7.68496	-2.09734	22.62593	32.4212	1.69668	0.58939	5.05934	91.20111	1.78417	0.41784	7.69285	571.79277	1.07105	0.0144098	1742.29277	56538.56	253.702	5198.584
1410.0	0.63662	0.36338	7.13502	7.66978	-2.29061	22.18767	32.57515	1.68366	0.59394	8.73418	90.10193	3.10378	0.40702	7.72389	1043.6744	1.06359	0.00787126	1737.92845	55555.113	196.689	5968.822
1405.0	0.69362	0.30638	7.14645	7.65767	-2.44495	21.85134	32.67875	1.67334	0.59761	13.04055	89.40561	4.66156	0.39873	7.75509	1597.70018	1.05616	0.00512651	1733.87309	54764.124	158.198	6547.12
1400.0	0.73785	0.26215	7.15591	7.64771	-2.57177	21.58713	32.74621	1.66491	0.60063	17.62292	88.98234	6.32902	0.39223	7.78686	2202.86258	1.04872	0.0037071	1730.0851	54107.902	131.244	6991.166
1395.0	0.77285	0.22715	7.16395	7.63932	-2.67873	21.37501	32.78726	1.65786	0.60319	22.2055	88.75087	8.00473	0.38702	7.81914	2840.51938	1.04127	0.00286632	1726.52992	53548.735	111.833	7338.668
1390.0	0.80102	0.19898	7.17093	7.63204	-2.7715	21.20009	32.8083	1.65183	0.60539	26.60807	88.65758	9.62124	0.38278	7.85201	3499.81059	1.0338	0.00231939	1723.18108	53061.219	97.5032	7615.026
1385.0	0.82422	0.17578	7.17717	7.62559	-2.85362	21.05305	32.81476	1.64654	0.60733	30.7703	88.6652	11.15483	0.37924	7.88542	4180.72344	1.02633	0.00193579	1720.00995	52625.878	87.0682	7839.714
1380.0	0.84358	0.15642	7.18285	7.61975	-2.92805	20.92607	32.80975	1.64183	0.60908	34.65662	88.74856	12.5911	0.37624	7.91941	4882.86035	1.01884	0.00165244	1716.99822	52230.599	79.0558	8024.841
1375.0	0.85995	0.14005	7.1881	7.61439	-2.99635	20.81507	32.79571	1.63756	0.61066	38.25809	88.89098	13.92561	0.37366	7.95397	5607.33217	1.01135	0.00143459	1714.1262	51866.647	72.7904	8179.139
1370.0	0.87395	0.12605	7.19301	7.60941	-3.05972	20.71688	32.77448	1.63365	0.61213	41.58655	89.07974	15.16181	0.37142	7.98905	6356.70841	1.00385	0.00126163	1711.37718	51527.593	67.8108	8309.035
1365.0	0.88602	0.11398	7.19764	7.60474	-3.1192	20.62881	32.74744	1.63002	0.61349	44.66408	89.30513	16.30717	0.36946	8.02504	7134.72937	0.99631	0.00112063	1708.73711	51208.615	63.7956	8419.345
1360.0	0.89652	0.10348	7.20205	7.60033	-3.17539	20.54923	32.71562	1.62663	0.61477	47.51	89.56029	17.36828	0.36772	8.06195	7944.46232	0.98872	0.00100334	1706.19234	50906.04	60.515	8513.743
1355.0	0.90573	0.094265	7.20629	7.59612	-3.229	20.47631	32.67989	1.62342	0.61598	50.15008	89.83982	18.35426	0.36617	8.09938	8790.39597	0.98114	9.04009E-4	1703.73311	50617.024	57.8032	8595.068
1350.0	0.91386	0.0861368	7.21038	7.59207	-3.28069	20.40823	32.64079	1.62038	0.61714	52.60447	90.139	19.27227	0.36477	8.13735	9676.3825	0.97356	8.18714E-4	1701.35395	50339.336	55.5376	8665.546
1348.99	0.91535	0.0846534	7.21117	7.59129	-3.29063	20.39577	32.63252	1.61978	0.61737	53.06725	90.20153	19.44551	0.36451	8.14528	9858.05909	0.97201	8.03128E-4	1700.87412	50285.023	 	8678.204
1345.0	0.92286	0.0771398	7.21521	7.58731	-3.34135	20.3143	32.60513	1.61715	0.61837	55.40961	90.4165	20.3229	0.36323	8.18332	10687.02583	0.96511	7.39007E-4	1699.52387	50050.518	57.7636	8747.636
1340.0	0.93114	0.0688567	7.22001	7.58262	-3.40106	20.22237	32.56723	1.61403	0.61957	58.11586	90.70857	21.33806	0.36179	8.23142	11763.8011	0.9565	6.69289E-4	1697.87913	49769.388	56.226	8822.515
1335.0	0.93835	0.0616486	7.22454	7.57822	-3.45708	20.1402	32.52586	1.61107	0.6207	60.59199	91.02189	22.26821	0.3605	8.28029	12887.85414	0.94791	6.09022E-4	1696.26821	49500.135	53.8506	8885.989
1330.0	0.94467	0.0553279	7.22886	7.57406	-3.51007	20.06608	32.48166	1.60825	0.62179	62.87048	91.35248	23.12522	0.35935	8.32994	14065.7751	0.93933	5.56285E-4	1694.68438	49240.685	51.89	8940.133
1325.0	0.95025	0.0497476	7.23301	7.57009	-3.56065	19.99828	32.43504	1.60554	0.62284	64.97823	91.6972	23.91893	0.3583	8.38015	15304.34443	0.93079	5.09671E-4	1693.12507	48989.414	50.2542	8986.567
1320.0	0.95521	0.04479	7.237	7.56629	-3.60908	19.93616	32.3864	1.60292	0.62386	66.93763	92.05398	24.65755	0.35735	8.43119	16610.57065	0.92226	4.68122E-4	1691.581	48745.033	48.8762	9026.576
1315.0	0.95964	0.0403631	7.24087	7.56262	-3.65577	19.87856	32.33604	1.60038	0.62485	68.7684	92.42053	25.34835	0.35647	8.48324	17991.634	0.91373	4.30832E-4	1690.05074	48506.51	47.7046	9061.189
1310.0	0.96361	0.0363901	7.24464	7.55908	-3.70097	19.82485	32.28419	1.5979	0.62582	70.48679	92.79569	25.99731	0.35566	8.5359	19455.33043	0.90523	3.97164E-4	1688.52914	48273.008	46.7004	9091.241
1305.0	0.96719	0.0328063	7.24832	7.55563	-3.74494	19.77431	32.23105	1.59548	0.62677	72.10688	93.17796	26.60966	0.3549	8.58958	21009.43293	0.89673	3.66624E-4	1687.0148	48043.845	45.8326	9117.413
1300.0	0.97044	0.0295604	7.25192	7.55226	-3.7878	19.7266	32.17679	1.59311	0.6277	73.6401	93.56641	27.18961	0.3542	8.64398	22662.54608	0.88827	3.38804E-4	1685.50296	47818.454	45.0782	9140.266
1295.0	0.97339	0.0266083	7.25545	7.54897	-3.82971	19.68131	32.12156	1.59077	0.62862	75.09703	93.96003	27.7411	0.35353	8.69944	24423.68927	0.8798	3.13374E-4	1683.99072	47596.364	44.418	9160.268
1290.0	0.97609	0.023913	7.25892	7.54575	-3.87075	19.63821	32.06549	1.58848	0.62953	76.48584	94.35827	28.26716	0.35291	8.75615	26302.41307	0.87131	2.90063E-4	1682.47381	47377.185	43.8358	9177.812
1285.0	0.97856	0.0214437	7.26234	7.54258	-3.91113	19.59674	32.00865	1.58621	0.63044	77.81513	94.76048	28.77099	0.35232	8.81363	28309.34754	0.86286	2.68637E-4	1680.95516	47160.581	43.3208	9193.226
1280.0	0.98083	0.0191735	7.26572	7.53946	-3.95083	19.55695	31.95117	1.58396	0.63133	79.09105	95.16601	29.25489	0.35176	8.87237	30455.30646	0.8544	2.48907E-4	1679.4267	46946.272	42.8618	9206.79
1275.0	0.98292	0.0170778	7.26906	7.53639	-3.99002	19.51836	31.89308	1.58174	0.63222	80.31973	95.57457	29.72114	0.35122	8.93205	32752.7234	0.84596	2.30703E-4	1677.89334	46734.015	42.4514	9218.742
1270.0	0.98486	0.015138	7.27237	7.53335	-4.0287	19.48099	31.83447	1.57953	0.6331	81.50629	95.98576	30.17166	0.35071	8.99304	35214.64247	0.83751	2.13881E-4	1676.34774	46523.606	42.0818	9229.287
1265.0	0.98666	0.0133367	7.27564	7.53035	-4.06698	19.44453	31.77541	1.57734	0.63398	82.65548	96.39905	30.60822	0.35022	9.055	37854.84457	0.82908	1.98319E-4	1674.79388	46314.864	41.7484	9238.6
1260.0	0.98834	0.0116583	7.2789	7.52737	-4.10485	19.40899	31.71591	1.57516	0.63486	83.77105	96.81449	31.03222	0.34974	9.11844	40689.2907	0.82064	1.83904E-4	1673.22438	46107.636	41.4456	9246.834
1255.0	0.98992	0.0100792	7.28213	7.52442	-4.14243	19.37404	31.65608	1.57299	0.63573	84.86114	97.23138	31.44675	0.34928	9.18331	43736.09735	0.81218	1.70535E-4	1671.64125	45901.79	41.1692	9254.116
1250.0	0.99142	0.00858472	7.28536	7.52149	-4.17978	19.33951	31.59596	1.57083	0.63661	85.92957	97.64964	31.85325	0.34884	9.24932	47014.20414	0.80375	1.58125E-4	1670.0465	45697.22	40.914	9260.553
1245.0	0.99283	0.00716778	7.28857	7.51858	-4.2169	19.3054	31.53559	1.56867	0.63748	86.97932	98.06916	32.25282	0.3484	9.3169	50543.76475	0.7953	1.466E-4	1668.43241	45493.83	40.678	9266.237
1240.0	0.99418	0.00582009	7.29178	7.51568	-4.25385	19.27155	31.47496	1.56651	0.63836	88.01193	98.48964	32.64606	0.34797	9.38557	54346.30676	0.78688	1.35893E-4	1666.80732	45291.531	40.4598	9271.26
1238.34	0.99482	0.00518246	7.29299	7.51464	-4.26703	19.25741	31.45517	1.56578	0.63866	88.43499	98.62907	32.80723	0.3478	9.40876	55724.78158	0.78408	1.32387E-4	1666.25815	45223.254	 	9274.192
1235.0	0.99619	0.00381063	7.29524	7.51228	-4.29712	19.21793	31.41563	1.56429	0.63927	89.36099	98.92	33.16077	0.34739	9.56602	58634.09985	0.76948	1.2554E-4	1663.13313	45074.408	43.4246	9291.54
1230.0	0.9978	0.00220318	7.29851	7.50885	-4.34083	19.16252	31.35595	1.56207	0.64018	90.57238	99.35336	33.62341	0.34687	9.80239	63173.55366	0.74844	1.16132E-4	1658.94329	44858.725	43.1366	9310.813
1225.0	0.99903	9.71994E-4	7.30169	7.50552	-4.38329	19.11053	31.29592	1.55986	0.64108	91.6349	99.78494	34.0293	0.34641	10.04052	67982.35103	0.72826	1.07559E-4	1655.16896	44649.081	41.9288	9324.476
1220.0	1.0	0.0	7.3048	7.50226	-4.4248	19.06105	31.23537	1.55767	0.64199	92.59416	100.21526	34.39584	0.34601	 	73107.84137	 	9.96842E-5	 	44443.69	41.0782	9334.312
1215.0	1.0	0.0	7.30717	7.49982	-4.45585	19.04392	31.17204	1.5556	0.64284	93.11146	100.64045	34.5933	0.3458	 	78316.94236	 	9.27423E-5	 	44216.546	45.4288	 
1210.0	1.0	0.0	7.30955	7.49739	-4.48685	19.02681	31.10871	1.55353	0.64369	93.62971	101.06553	34.79118	0.3456	 	83937.98843	 	8.62409E-5	 	44026.411	38.027	 
1205.0	1.0	0.0	7.31192	7.49496	-4.5178	19.0097	31.04538	1.55146	0.64456	94.14889	101.49047	34.98945	0.34539	 	90006.66081	 	8.0155E-5	 	43836.518	37.9786	 
1200.0	1.0	0.0	7.31428	7.49253	-4.5487	18.99259	30.98204	1.54937	0.64542	94.66898	101.91526	35.18813	0.34518	 	96561.99266	 	7.44608E-5	 	43646.879	37.9278	 
1195.0	1.0	0.0	7.31665	7.49011	-4.57956	18.9755	30.91871	1.54727	0.6463	95.18994	102.33987	35.38719	0.34498	 	103646.708	 	6.91356E-5	 	43457.498	37.8762	 
1190.0	1.0	0.0	7.31901	7.48769	-4.61037	18.95841	30.85537	1.54517	0.64718	95.71177	102.76427	35.58663	0.34477	 	111307.5973	 	6.4158E-5	 	43268.376	37.8244	 
1185.0	1.0	0.0	7.32137	7.48528	-4.64113	18.94133	30.79202	1.54306	0.64806	96.23443	103.18845	35.78645	0.34457	 	119595.9339	 	5.95076E-5	 	43079.512	37.7728	 
1180.0	1.0	0.0	7.32373	7.48287	-4.67184	18.92425	30.72868	1.54093	0.64896	96.75792	103.61239	35.98663	0.34436	 	128567.9361	 	5.51651E-5	 	42890.903	37.7218	 
1175.0	1.0	0.0	7.32609	7.48046	-4.7025	18.90718	30.66533	1.5388	0.64985	97.2822	104.03605	36.18717	0.34415	 	138285.2802	 	5.11122E-5	 	42702.549	37.6708	 
1170.0	1.0	0.0	7.32844	7.47806	-4.73312	18.89012	30.60198	1.53667	0.65076	97.80725	104.45942	36.38806	0.34395	 	148815.6701	 	4.73314E-5	 	42514.448	37.6202	 
1165.0	1.0	0.0	7.33079	7.47566	-4.76368	18.87307	30.53863	1.53452	0.65167	98.33305	104.88248	36.58929	0.34374	 	160233.4714	 	4.38064E-5	 	42326.599	37.5698	 
