T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1400.0	0.0	1.0	7.55438	8.17107	0.0	35.32153	30.44184	1.34657	0.74263	0.0	123.39264	0.0	0.5	7.63052	7.63052	1.07021	1.07021	1858.44493	39991.395	 	0.0
1395.0	0.0	1.0	7.55867	8.16643	-0.0567345	35.29228	30.35796	1.34626	0.7428	0.0	123.53159	0.0	0.5	7.71454	7.71454	1.05539	1.05539	1862.63472	39795.1	39.259	0.0
1390.0	0.0	1.0	7.56295	8.16181	-0.11331	35.26327	30.27408	1.34594	0.74297	0.0	123.67055	0.0	0.5	7.8	7.8	1.0407	1.0407	1866.8505	39599.218	39.1764	0.0
1385.0	0.0	1.0	7.56723	8.1572	-0.16973	35.23449	30.1902	1.34562	0.74315	0.0	123.8095	0.0	0.5	7.88693	7.88693	1.02613	1.02613	1871.09201	39403.747	39.0942	0.0
1380.0	0.0	1.0	7.57149	8.1526	-0.22599	35.20594	30.10632	1.3453	0.74333	0.0	123.94846	0.0	0.5	7.97536	7.97536	1.01169	1.01169	1875.35883	39208.685	39.0124	0.0
1375.0	0.0	1.0	7.57575	8.14802	-0.28209	35.17762	30.02244	1.34498	0.7435	0.0	124.08741	0.0	0.5	8.06533	8.06533	0.99738	0.99738	1879.65056	39014.028	38.9314	0.0
1370.0	0.0	1.0	7.58001	8.14344	-0.33804	35.14955	29.93856	1.34466	0.74368	0.0	124.22637	0.0	0.5	8.15688	8.15688	0.9832	0.9832	1883.96678	38819.773	38.851	0.0
1365.0	0.0	1.0	7.58425	8.13889	-0.39382	35.12171	29.85468	1.34433	0.74386	0.0	124.36532	0.0	0.5	8.25003	8.25003	0.96914	0.96914	1888.30708	38625.919	38.7708	0.0
1360.0	0.0	1.0	7.58849	8.13434	-0.44945	35.09412	29.7708	1.34401	0.74404	0.0	124.50428	0.0	0.5	8.34482	8.34482	0.9552	0.9552	1892.67103	38432.463	38.6912	0.0
1355.0	0.0	1.0	7.59272	8.12981	-0.50492	35.06678	29.68692	1.34368	0.74423	0.0	124.64323	0.0	0.5	8.4413	8.4413	0.94139	0.94139	1897.05821	38239.401	38.6124	0.0
1350.0	0.0	1.0	7.59694	8.12529	-0.56023	35.03968	29.60304	1.34335	0.74441	0.0	124.78219	0.0	0.5	8.5395	8.5395	0.92771	0.92771	1901.46817	38046.732	38.5338	0.0
1345.0	0.0	1.0	7.60116	8.12078	-0.61538	35.01284	29.51916	1.34302	0.74459	0.0	124.92114	0.0	0.5	8.63945	8.63945	0.91415	0.91415	1905.90049	37854.452	38.456	0.0
1340.0	0.0	1.0	7.60537	8.11629	-0.67038	34.98625	29.43528	1.34268	0.74478	0.0	125.0601	0.0	0.5	8.74121	8.74121	0.90072	0.90072	1910.35472	37662.56	38.3784	0.0
1335.0	0.0	1.0	7.60957	8.11181	-0.72521	34.95992	29.3514	1.34234	0.74497	0.0	125.19905	0.0	0.5	8.84481	8.84481	0.88741	0.88741	1914.83041	37471.053	38.3014	0.0
1330.0	0.0	1.0	7.61376	8.10734	-0.77989	34.93386	29.26752	1.34201	0.74515	0.0	125.33801	0.0	0.5	8.95029	8.95029	0.87423	0.87423	1919.32714	37279.928	38.225	0.0
1325.0	0.0	1.0	7.61795	8.10289	-0.83441	34.90805	29.18364	1.34167	0.74534	0.0	125.47696	0.0	0.5	9.05771	9.05771	0.86116	0.86116	1923.84445	37089.184	38.1488	0.0
1320.0	0.0	1.0	7.62213	8.09844	-0.88878	34.88251	29.09976	1.34132	0.74553	0.0	125.61591	0.0	0.5	9.1671	9.1671	0.84823	0.84823	1928.3837	36898.816	38.0736	0.0
1315.0	0.0	1.0	7.6263	8.09401	-0.94298	34.85725	29.01588	1.34098	0.74572	0.0	125.75487	0.0	0.5	9.27851	9.27851	0.83541	0.83541	1932.94079	36708.824	37.9984	0.0
