T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1400.0	0.0	1.0	7.42483	7.8899	0.0	31.21984	29.28762	1.39964	0.71447	0.0	123.1143	0.0	0.5	7.26715	7.26715	1.12372	1.12372	1779.40342	43928.575	 	0.0
1395.0	0.0	1.0	7.42894	7.88554	-0.0552626	31.182	29.21248	1.39905	0.71477	0.0	123.2571	0.0	0.5	7.34644	7.34644	1.10827	1.10827	1782.57892	43724.075	40.9	0.0
1390.0	0.0	1.0	7.43304	7.8812	-0.11037	31.14433	29.13735	1.39845	0.71508	0.0	123.3999	0.0	0.5	7.42707	7.42707	1.09295	1.09295	1785.79139	43520.05	40.805	0.0
1385.0	0.0	1.0	7.43713	7.87686	-0.16531	31.10681	29.06222	1.39785	0.71538	0.0	123.5427	0.0	0.5	7.50908	7.50908	1.07776	1.07776	1789.04105	43316.498	40.7104	0.0
1380.0	0.0	1.0	7.44121	7.87254	-0.2201	31.06946	28.98708	1.39725	0.71569	0.0	123.6855	0.0	0.5	7.5925	7.5925	1.06271	1.06271	1792.32808	43113.417	40.6162	0.0
1375.0	0.0	1.0	7.44529	7.86823	-0.27473	31.03227	28.91195	1.39664	0.716	0.0	123.8283	0.0	0.5	7.67737	7.67737	1.04778	1.04778	1795.65267	42910.803	40.5228	0.0
1370.0	0.0	1.0	7.44936	7.86393	-0.32921	30.99525	28.83681	1.39603	0.71631	0.0	123.9711	0.0	0.5	7.7637	7.7637	1.03299	1.03299	1799.01494	42708.654	40.4298	0.0
1365.0	0.0	1.0	7.45342	7.85964	-0.38352	30.95839	28.76168	1.39542	0.71663	0.0	124.1139	0.0	0.5	7.85155	7.85155	1.01832	1.01832	1802.41503	42506.967	40.3374	0.0
1360.0	0.0	1.0	7.45747	7.85537	-0.43768	30.9217	28.68654	1.39481	0.71695	0.0	124.2567	0.0	0.5	7.94093	7.94093	1.00379	1.00379	1805.85302	42305.741	40.2452	0.0
1355.0	0.0	1.0	7.46152	7.85111	-0.49168	30.88518	28.61141	1.39419	0.71726	0.0	124.3995	0.0	0.5	8.03189	8.03189	0.98938	0.98938	1809.32898	42104.972	40.1538	0.0
1350.0	0.0	1.0	7.46556	7.84686	-0.54552	30.84884	28.53628	1.39357	0.71758	0.0	124.5423	0.0	0.5	8.12446	8.12446	0.9751	0.9751	1812.84295	41904.657	40.063	0.0
1345.0	0.0	1.0	7.46959	7.84263	-0.5992	30.81267	28.46114	1.39294	0.71791	0.0	124.6851	0.0	0.5	8.21869	8.21869	0.96096	0.96096	1816.39493	41704.795	39.9724	0.0
1340.0	0.0	1.0	7.47362	7.8384	-0.65273	30.77668	28.38601	1.39231	0.71823	0.0	124.8279	0.0	0.5	8.3146	8.3146	0.94694	0.94694	1819.98491	41505.383	39.8824	0.0
1335.45	0.0	1.0	7.47727	7.83458	-0.70125	30.74411	28.3177	1.39174	0.71853	0.0	124.95773	0.0	0.5	8.40329	8.40329	0.9343	0.9343	1823.28171	41324.483	39.79506	0.0
1335.0	0.01427	0.98573	7.48132	7.83032	-0.75515	30.59996	28.35361	1.38958	0.71964	3.90745E-6	125.09821	1.3041E-6	0.49814	8.41183	8.57439	0.93309	0.9154	1823.07045	41095.388	504.38123	211.026
1330.0	0.16362	0.83638	7.52394	7.78596	-1.31747	29.09591	28.73401	1.36692	0.73157	0.0692885	126.50826	0.023432	0.4785	8.50999	34.02891	0.91946	0.22994	1820.86339	38703.826	478.3124	2404.068
1325.0	0.28543	0.71457	7.5593	7.74958	-1.77851	27.87342	29.04271	1.34818	0.74174	0.65517	127.66575	0.22403	0.46227	8.61265	242.6438	0.90566	0.0321466	1818.77257	36734.724	393.8204	4175.093
1320.0	0.38578	0.61422	7.58895	7.71925	-2.16299	26.86393	29.29481	1.33239	0.75053	2.22542	128.63458	0.76806	0.44872	8.71984	827.93268	0.89173	0.00939179	1816.80116	35094.767	327.9914	5617.413
1315.0	0.46921	0.53079	7.61406	7.69375	-2.48614	26.02551	29.5011	1.31892	0.75819	4.9441	129.46418	1.71989	0.43733	8.83168	1903.23232	0.87768	0.00407274	1814.9485	33713.711	276.2112	6801.268
1310.0	0.53916	0.46084	7.6355	7.67209	-2.7607	25.32284	29.66925	1.30732	0.76492	8.73313	130.18922	3.05848	0.42769	8.94815	3507.2535	0.86353	0.00220314	1813.21388	32538.144	235.1134	7780.072
1305.0	0.59823	0.40177	7.65396	7.6535	-2.99634	24.7291	29.80486	1.29726	0.77085	13.38892	130.83384	4.71616	0.41947	9.06938	5632.36041	0.84929	0.00136755	1811.5955	31527.052	202.2184	8594.832
1300.0	0.64847	0.35153	7.66998	7.63737	-3.20073	24.2229	29.91276	1.28849	0.7761	18.67352	131.41657	6.61049	0.41242	9.19542	8250.36821	0.835	9.30644E-4	1810.09106	30648.664	175.6776	9277.32
1295.0	0.69144	0.30856	7.68399	7.62329	-3.37919	23.78956	29.99694	1.28079	0.78077	24.35534	131.95159	8.65918	0.40633	9.32635	11324.89076	0.82066	6.75834E-4	1808.69733	29878.153	154.1022	9852.358
1290.0	0.72841	0.27159	7.69632	7.61086	-3.53669	23.41511	30.06066	1.274	0.78493	30.24066	132.44861	10.79215	0.40105	9.46224	14823.4488	0.80629	5.14681E-4	1807.41143	29195.959	136.4388	10339.506
1285.0	0.76035	0.23965	7.70726	7.59983	-3.67658	23.09029	30.1068	1.26798	0.78866	36.1744	132.91588	12.95235	0.39644	9.60316	18719.94684	0.79192	4.06248E-4	1806.22963	28586.555	121.8808	10754.288
1280.0	0.78809	0.21191	7.71701	7.58997	-3.80151	22.80773	30.13766	1.26261	0.79201	42.03596	133.35959	15.09471	0.39241	9.74933	22994.6606	0.77754	3.29665E-4	1805.14813	28037.524	109.8062	11109.118
1275.0	0.8123	0.1877	7.72576	7.58107	-3.91433	22.55937	30.15538	1.25781	0.79503	47.7422	133.78378	17.18763	0.38885	9.90073	27637.76192	0.76319	2.73399E-4	1804.16411	27538.866	99.7316	11413.993
1270.0	0.83348	0.16652	7.73367	7.573	-4.01661	22.34084	30.16175	1.25348	0.79778	53.23455	134.19246	19.20838	0.38571	10.05751	32646.98043	0.74887	2.30702E-4	1803.27357	27082.479	91.2774	11677.016
1265.0	0.85209	0.14791	7.74085	7.56563	-4.10995	22.14771	30.15827	1.24956	0.80028	58.47884	134.5885	21.14321	0.38292	10.21982	38029.03269	0.73458	1.9741E-4	1802.47312	26661.754	84.145	11904.792
1260.0	0.86851	0.13149	7.74741	7.55886	-4.19578	21.97588	30.14613	1.246	0.80257	63.44877	134.97356	22.98142	0.38044	10.38774	43791.72674	0.72036	1.70875E-4	1801.75995	26271.268	78.0972	12102.74
1255.0	0.88304	0.11696	7.75344	7.55259	-4.27527	21.82205	30.1266	1.24274	0.80467	68.14408	135.34979	24.72197	0.37821	10.56138	49959.43009	0.70621	1.49292E-4	1801.13092	25906.549	72.9438	12275.332
1250.0	0.89592	0.10408	7.759	7.54678	-4.34886	21.68508	30.10047	1.23975	0.80661	72.55589	135.71869	26.36073	0.37621	10.74097	56549.85822	0.69213	1.31461E-4	1800.58231	25563.887	68.5324	12426.274
1245.0	0.90739	0.0926087	7.76416	7.54135	-4.41776	21.56147	30.06862	1.23699	0.80841	76.69528	136.08089	27.90117	0.37441	10.92648	63595.24223	0.67814	1.16514E-4	1800.11223	25240.191	64.7392	12558.657
1240.0	0.91762	0.0823764	7.76898	7.53623	-4.48258	21.44947	30.03179	1.23443	0.81009	80.57456	136.43741	29.34728	0.37278	11.11818	71131.983	0.66426	1.03825E-4	1799.71805	24932.87	61.4642	12675.069
1235.0	0.92678	0.0732228	7.77348	7.53141	-4.54366	21.34818	29.99049	1.23205	0.81166	84.20107	136.78903	30.70126	0.3713	11.31619	79196.00731	0.65048	9.29454E-5	1799.39682	24639.745	58.625	12777.684
1230.0	0.93498	0.0650153	7.77772	7.52684	-4.60158	21.25587	29.9453	1.22981	0.81313	87.59052	137.13631	31.96856	0.36995	11.52062	87833.04992	0.63681	8.35278E-5	1799.1466	24358.974	56.1542	12868.346
1225.0	0.94236	0.0576415	7.78173	7.5225	-4.65668	21.17169	29.89664	1.22772	0.81452	90.75821	137.47968	33.15453	0.36872	11.73175	97093.72479	0.62327	7.53097E-5	1798.96486	24088.996	53.9956	12948.613
1220.0	0.949	0.0509997	7.78553	7.51834	-4.70934	21.09447	29.84492	1.22574	0.81583	93.71858	137.81938	34.26427	0.36758	11.94959	107032.5968	0.60987	6.80885E-5	1798.84986	23828.477	52.1038	13019.816
1215.0	0.95499	0.0450087	7.78914	7.51436	-4.75986	21.02337	29.79047	1.22387	0.81708	96.48616	138.15586	35.30296	0.36655	12.17434	117711.2003	0.59661	6.17043E-5	1798.79964	23576.278	50.4398	13083.091
1210.0	0.96041	0.0395922	7.7926	7.51052	-4.80846	20.95777	29.7336	1.22209	0.81827	99.07493	138.48928	36.27561	0.36559	12.40622	129196.6601	0.58349	5.603E-5	1798.8122	23331.423	48.971	13139.413
1205.0	0.96531	0.0346885	7.79591	7.50682	-4.85537	20.89697	29.67457	1.22039	0.81941	101.49881	138.81998	37.18726	0.3647	12.64539	141564.0814	0.57052	5.09627E-5	1798.88574	23093.069	47.6708	13189.623
1200.0	0.96976	0.0302397	7.7991	7.50324	-4.90077	20.84053	29.61359	1.21877	0.8205	103.7699	139.14792	38.04229	0.36388	12.89201	154893.605	0.55772	4.64195E-5	1799.01861	22860.488	46.5162	13234.447
1195.0	0.9738	0.0261983	7.80217	7.49976	-4.94484	20.78787	29.55087	1.21721	0.82155	105.90066	139.4733	38.84526	0.36311	13.14626	169275.531	0.54507	4.23314E-5	1799.20929	22633.049	45.4878	13274.513
1190.0	0.97748	0.022521	7.80514	7.49638	-4.9877	20.73865	29.4866	1.21571	0.82256	107.90214	139.79632	39.6002	0.36239	13.40841	184808.1722	0.5326	3.86415E-5	1799.45595	22410.203	44.5692	13310.369
1185.0	0.98083	0.0191718	7.80802	7.49308	-5.02947	20.69255	29.42092	1.21426	0.82355	109.78419	140.11694	40.31071	0.36172	13.67855	201598.4796	0.52029	3.53022E-5	1799.75707	22191.472	43.7462	13342.491
1180.0	0.98389	0.0161145	7.81082	7.48986	-5.07028	20.6492	29.35396	1.21286	0.8245	111.55662	140.4353	40.98041	0.3611	13.95692	219765.1378	0.50817	3.22729E-5	1800.11124	21976.436	43.0072	13371.294
1177.65	0.98521	0.0147916	7.81211	7.48837	-5.08915	20.62978	29.32193	1.21221	0.82494	112.34625	140.58451	41.27896	0.36082	14.09075	228815.7429	0.50253	3.09462E-5	1800.28881	21876.593	 	13383.566
1175.0	0.98722	0.0127765	7.81356	7.48651	-5.11277	20.59993	29.29129	1.21127	0.82558	113.49456	140.76125	41.71294	0.36042	14.24283	239952.4575	0.49625	2.94561E-5	1800.12901	21753.969	44.4934	13407.906
1170.0	0.99089	0.00911141	7.81625	7.48303	-5.15683	20.54512	29.23212	1.20953	0.82677	115.61528	141.09495	42.51488	0.3597	14.53881	262435.6511	0.48447	2.68396E-5	1799.84906	21524.938	45.8062	13451.456
1165.0	0.99423	0.00576998	7.81883	7.47964	-5.19986	20.49322	29.1705	1.20789	0.82789	117.60579	141.42671	43.26824	0.35903	14.84558	286793.6013	0.47282	2.44749E-5	1799.58205	21301.095	44.7686	13490.189
1160.0	0.99726	0.00273881	7.82133	7.47633	-5.2418	20.44443	29.10658	1.20633	0.82896	119.46742	141.75591	43.9734	0.35841	15.16298	313184.1946	0.46131	2.23346E-5	1799.34352	21082.091	43.8008	13524.454
1155.0	1.0	0.0	7.82374	7.47309	-5.28283	20.3983	29.0414	1.20482	0.83	121.20569	142.08255	44.63238	0.35782	 	341790.164	 	2.03939E-5	 	20867.567	42.9048	13554.605
1150.0	1.0	0.0	7.8262	7.47075	-5.31255	20.38955	28.95999	1.20398	0.83058	121.62315	142.37898	44.79246	0.35763	 	369469.5501	 	1.88E-5	 	20642.56721	44.99996	 
1145.93	1.0	0.0	7.8282	7.46884	-5.33673	20.38242	28.8937	1.20329	0.83106	121.96237	142.61894	44.92258	0.35747	 	393811.2118	 	1.75875E-5	 	20496.44108	 	 
1145.0	1.0	0.0	7.82928	7.46781	-5.34974	20.35562	28.83234	1.20506	0.82983	122.19998	142.74474	45.01513	0.35732	 	400790.4478	 	1.727E-5	 	20426.21248	43.27095	 
1140.0	1.0	0.0	7.835	7.46236	-5.41887	20.21362	28.51556	1.21415	0.82362	123.45105	143.40335	45.50277	0.35652	 	440709.1296	 	1.56503E-5	 	20052.46407	74.74968	 
1135.0	1.0	0.0	7.84062	7.45702	-5.48659	20.07513	28.21068	1.22293	0.81771	124.65831	144.03346	45.97383	0.35575	 	484953.1012	 	1.41722E-5	 	19685.50202	73.39241	 
1130.0	1.0	0.0	7.84613	7.45178	-5.55296	19.93996	27.91739	1.23139	0.81209	125.82483	144.63795	46.42942	0.35501	 	534028.7932	 	1.28241E-5	 	19325.04029	72.09235	 
1125.0	1.0	0.0	7.85154	7.44664	-5.61805	19.80797	27.6352	1.23953	0.80676	126.95333	145.2193	46.87056	0.3543	 	588506.0504	 	1.15955E-5	 	18970.80889	70.84628	 
1120.0	1.0	0.0	7.85685	7.44161	-5.68191	19.67899	27.3636	1.24736	0.8017	128.04622	145.77961	47.29813	0.35361	 	649026.4151	 	1.04766E-5	 	18622.55633	69.65051	 
1115.0	1.0	0.0	7.86208	7.43666	-5.74459	19.55289	27.10215	1.25487	0.7969	129.10567	146.32071	47.71293	0.35294	 	716312.6621	 	9.45846E-6	 	18280.04715	68.50184	 
1110.0	1.0	0.0	7.86721	7.4318	-5.80614	19.42954	26.85041	1.26207	0.79235	130.1336	146.84419	48.11566	0.3523	 	791179.5534	 	8.53259E-6	 	17943.06231	67.39697	 
1105.0	1.0	0.0	7.87227	7.42703	-5.86662	19.30881	26.60795	1.26897	0.78804	131.13174	147.35142	48.50698	0.35168	 	874546.0359	 	7.69131E-6	 	17611.39951	66.33256	 
1100.0	1.0	0.0	7.87724	7.42234	-5.92605	19.1906	26.37441	1.27556	0.78397	132.10166	147.84359	48.88745	0.35108	 	967449.191	 	6.9275E-6	 	17284.87108	65.30569	 
1095.0	1.0	0.0	7.88214	7.41773	-5.98448	19.07482	26.1494	1.28185	0.78012	133.04475	148.32175	49.2576	0.3505	 	1071059.973	 	6.23457E-6	 	16963.30457	64.3133	 
1090.0	1.0	0.0	7.88696	7.4132	-6.04194	18.96136	25.93257	1.28785	0.77649	133.9623	148.78682	49.6179	0.34994	 	1186701.136	 	5.60646E-6	 	16646.54182	63.35255	 
1085.0	1.0	0.0	7.89171	7.40874	-6.09846	18.85015	25.72361	1.29355	0.77307	134.85544	149.23962	49.96877	0.3494	 	1315867.588	 	5.03758E-6	 	16334.4381	62.42074	 
1080.0	1.0	0.0	7.89638	7.40435	-6.15408	18.74113	25.52219	1.29895	0.76985	135.72524	149.68086	50.31062	0.34887	 	1460249.455	 	4.52278E-6	 	16026.86226	61.51517	 
1075.0	1.0	0.0	7.90099	7.40003	-6.20882	18.63422	25.32802	1.30408	0.76683	136.57264	150.11118	50.6438	0.34837	 	1621758.413	 	4.05732E-6	 	15723.69442	60.63357	 
1070.0	1.0	0.0	7.90553	7.39578	-6.2627	18.52938	25.14081	1.30891	0.76399	137.39854	150.53115	50.96863	0.34787	 	1802557.501	 	3.63682E-6	 	15424.82587	59.77371	 
1065.0	1.0	0.0	7.91001	7.3916	-6.31575	18.42655	24.9603	1.31347	0.76134	138.20374	150.94129	51.28542	0.3474	 	2005095.096	 	3.25729E-6	 	15130.15779	58.93362	 
1060.0	1.0	0.0	7.91442	7.38748	-6.36797	18.32571	24.78622	1.31776	0.75887	138.989	151.34206	51.59446	0.34694	 	2232143.622	 	2.91503E-6	 	14839.5996	58.11164	 
1055.0	1.0	0.0	7.91877	7.38342	-6.4194	18.2268	24.61832	1.32177	0.75656	139.75504	151.7339	51.89601	0.34649	 	2486843.514	 	2.60667E-6	 	14553.06865	57.30619	 
1050.0	1.0	0.0	7.92306	7.37942	-6.47004	18.12981	24.45636	1.32551	0.75443	140.50251	152.11718	52.19033	0.34606	 	2772753.682	 	2.32908E-6	 	14270.48729	56.51627	 
